client_id,default
74835,0.04126776
17527,0.2017503
75683,0.041669693
26883,0.07699348
28862,0.026443943
99881,0.088584974
26630,0.18671615
79934,0.09562523
16605,0.01943035
105449,0.016725354
49000,0.11568758
28589,0.072818734
7706,0.027454644
96743,0.04438218
63018,0.378968
68282,0.034127105
25663,0.11553938
39302,0.08875189
84204,0.10096706
44202,0.24268088
102650,0.24618748
19519,0.13035367
47829,0.11972232
10899,0.03700341
16211,0.092652276
9490,0.07022566
37563,0.2507512
85637,0.11112774
26718,0.20187512
58572,0.22858693
91847,0.053642932
45575,0.056348726
8526,0.17390028
84636,0.24572042
67318,0.12702249
2695,0.24257392
76039,0.038491994
47451,0.18935764
71789,0.20106624
11403,0.046948466
100327,0.08060047
2855,0.109621465
101424,0.07565322
88773,0.15175843
39167,0.08814676
37001,0.07458669
96705,0.035629556
84528,0.085646786
77533,0.43446147
57838,0.052455876
77427,0.040821634
84737,0.10477176
108836,0.0154480105
107885,0.0031079948
15618,0.16633159
79078,0.07867175
24711,0.20847337
5105,0.107233554
46200,0.11694355
47138,0.116890706
29418,0.16955306
8116,0.079060294
91348,0.13325197
26136,0.13371748
46407,0.15571463
65469,0.12485711
90137,0.20587811
23997,0.07295629
53299,0.32571134
1863,0.025305865
17480,0.15600704
56711,0.10168502
60933,0.036681343
104322,0.2133556
49604,0.053585492
39809,0.3546042
85778,0.049220383
52445,0.07953053
80390,0.10887073
805,0.13972129
67224,0.01110948
23033,0.0079538375
32775,0.021447755
19865,0.15005374
35371,0.06318732
56038,0.12726957
23368,0.084791616
77105,0.04580918
22564,0.437183
46368,0.09324868
88516,0.14435191
77171,0.04036163
106102,0.05501767
25435,0.07007467
42614,0.03898803
29540,0.26083115
48473,0.07423547
38274,0.15680866
78135,0.40864956
43986,0.35164836
88839,0.23285459
87863,0.02624561
6528,0.03314275
70557,0.044226617
96677,0.02360679
76686,0.13931642
26451,0.14170526
31039,0.18759605
54382,0.059735265
105054,0.108242564
43510,0.08759553
77798,0.08757146
